epoch,train_loss,train_acc,test_loss,test_acc
1,1.8846732257843017,0.3103,1.5956477916717529,0.4208
2,1.6917855532073975,0.38452,1.5259598985671996,0.439
3,1.6328186359024048,0.40266,1.5264780994415283,0.4508
4,1.5851124533462524,0.42526,1.424309602355957,0.4878
5,1.5511348150634765,0.43632,1.4553828117370606,0.4854
6,1.5411012967681885,0.44224,1.5167289329528808,0.4561
7,1.5281506721115112,0.4473,1.3984178335189819,0.5015
8,1.5113245751190185,0.4561,1.3988324977874755,0.5007
9,1.5111655992889403,0.45554,1.4732477207183838,0.4733
10,1.498042034225464,0.46026,1.3725576107025146,0.5096
