epoch,train_loss,train_acc,test_loss,test_acc
1,2.0705010092163088,0.22946,1.7674200216293334,0.3802
2,1.7432165607452392,0.36844,1.533634359550476,0.4416
3,1.5778629602050782,0.42886,1.3606201539993286,0.5097
4,1.4700220097351073,0.46802,1.2655291788101197,0.5451
5,1.3893862116241456,0.50128,1.204566476535797,0.5692
6,1.3244363966751098,0.5255,1.2020204118728637,0.5744
7,1.2688888247299195,0.54674,1.0509296971321105,0.6334
8,1.2191224797821045,0.56592,1.0520767385482788,0.6286
9,1.1705705532073976,0.58452,1.0169856172561647,0.6394
10,1.1425927544021606,0.59578,0.9944705787658692,0.6536
