epoch,train_loss,train_acc,test_loss,test_acc
1,1.9639052035522462,0.28114,1.6098346630096436,0.4097
2,1.4680433963775634,0.46986,1.302504965209961,0.5284
3,1.2549403902435303,0.5519,1.225121039199829,0.5624
4,1.1094685572624206,0.60738,1.0919673002243042,0.612
5,0.9939155144119263,0.6497,0.9837436180114746,0.659
6,0.8942083934020996,0.6852,0.957837422657013,0.6612
7,0.8110888798904419,0.71492,0.9374553295135498,0.6761
8,0.744535570487976,0.7387,0.9072779047966003,0.6925
9,0.6828387829208374,0.76086,0.8724043285369874,0.7033
10,0.6119843885612488,0.78486,0.8666944108009338,0.7088
