epoch,train_loss,train_acc,test_loss,test_acc
1,2.028081403198242,0.25312,1.7972938034057617,0.3576
2,1.6919663692855835,0.38654,1.4519519706726074,0.4827
3,1.5530475779342652,0.43992,1.3310353057861328,0.5251
4,1.4540857498931885,0.47812,1.292456304550171,0.5413
5,1.3654178101348877,0.51218,1.1448781085014343,0.6
6,1.3064117618942261,0.53414,1.1193419974327088,0.6077
7,1.2500248126220703,0.5551,1.0644649827957153,0.6217
8,1.2079097275543214,0.5713,1.0305480089187622,0.6358
9,1.1659785708236694,0.58452,0.9741595977783203,0.6535
10,1.1451263586425782,0.59474,0.9785669965744018,0.6595
