epoch,train_loss,train_acc,test_loss,test_acc
1,1.7286399437713622,0.37382,1.4246170207977296,0.4816
2,1.3806899689483643,0.50334,1.3549695669174195,0.5164
3,1.3021614087677003,0.53534,1.332729033279419,0.5202
4,1.2415979095458984,0.55796,1.2883787483215332,0.542
5,1.1996409232330323,0.5716,1.2885587697982788,0.5404
6,1.1598682831573486,0.58466,1.2654446369171142,0.5521
7,1.1435769744873048,0.59348,1.2620088846206665,0.5593
8,1.122702364425659,0.60254,1.2513995946884156,0.5613
9,1.0767982495117188,0.6175,1.2432810546875,0.5644
10,1.0651884030914307,0.6178,1.321402802658081,0.5451
