epoch,train_loss,train_acc,test_loss,test_acc
1,1.8813365224456786,0.30172,1.6416668697357177,0.3985
2,1.6806913624954223,0.37672,1.5487596210479737,0.4274
3,1.6351341115570068,0.40124,1.5625509996414184,0.4249
4,1.6064803477859497,0.41056,1.511009596824646,0.4455
5,1.5825084410476684,0.42064,1.5225824378967285,0.4431
6,1.5676781223678589,0.42982,1.4784889535903931,0.4585
7,1.5567302836608887,0.43112,1.4934770944595337,0.4557
8,1.5449237117004395,0.43588,1.463665308380127,0.4715
9,1.5365594310760498,0.44164,1.4671966415405273,0.4741
10,1.5271776266098023,0.44406,1.4860247068405152,0.4654
