epoch,train_loss,train_acc,test_loss,test_acc
1,1.959310048789978,0.28234,1.5769516773223877,0.4368
2,1.5942330165863037,0.42066,1.4556853477478027,0.4914
3,1.443750505142212,0.47874,1.316703634262085,0.5271
4,1.3386957333755494,0.51598,1.1774909160614013,0.5831
5,1.2375807570266724,0.55794,1.0962469652175904,0.6125
6,1.164957059440613,0.58492,1.0318147755622864,0.6338
7,1.102748593158722,0.60784,0.9843499254226684,0.6612
8,1.0541843451309205,0.62636,0.9331276074409485,0.6778
9,1.0117439514541626,0.64112,0.8982747142791748,0.6885
10,0.982185898399353,0.65222,0.9087156764984131,0.6861
